Actual_Train,Predicted_Train
35270.0,32575.42444244027
36088.0,34104.39786463976
35617.0,33960.109090298414
35339.5,33658.00477671623
36187.0,33250.478737682104
36123.5,33029.393227636814
36543.5,33980.5754853487
37980.0,35416.27941185236
40111.0,37238.82833430171
42983.0,39064.98688843846
42126.0,39258.83179011941
39677.0,38318.95695474744
36639.5,36816.680628448725
33509.5,33569.03808802366
29898.5,29805.126646265388
26826.0,26681.657995909452
26230.5,25572.069424539804
25884.5,24596.670338854194
25130.5,23590.670122995973
24180.5,23364.890910208225
23915.5,23621.468177974224
25125.5,24844.090603157878
28891.5,27549.494783505797
33697.5,31149.822758466005
37016.5,33710.930287480354
37505.0,35136.5556024313
36736.0,34656.02166095376
35938.5,33806.690881967545
36186.0,33215.58169287443
36125.0,32917.29575127363
36702.0,33706.72397363186
37653.0,35445.28446647525
39993.5,38103.54090985656
42395.0,40650.654962182045
41769.0,40537.28141307831
39176.5,39692.67289093137
36854.49999999999,37803.78787845373
34245.0,34613.816736608744
31507.5,30907.201551675797
28628.5,27774.858484953642
27991.0,26859.90448373556
27632.5,26366.068271636963
26698.0,25579.704199254513
25946.5,25239.752907276154
25266.0,25566.679592609406
25535.0,26809.484841123223
27307.5,29252.78112053871
29476.5,32475.973477095366
32000.0,34447.566907942295
34320.0,35215.13253837824
34884.0,34582.81092596054
34772.5,33618.79310941696
34804.0,32910.005594968796
34694.0,33829.47902047634
34692.0,33657.35886335373
35517.5,35121.62082517147
38326.0,37381.60078763962
41766.5,40030.38317862153
41363.5,40573.84838023782
39048.0,40378.63682040572
37007.0,39675.66843396425
34272.5,36952.47209742665
31511.0,33052.876510709524
28834.5,29610.485183745623
28336.5,28165.066956579685
27788.0,27517.47087161243
26825.5,26195.33643439412
26236.0,26028.252629175782
25583.5,26174.94880926609
25665.5,27219.67428815365
26826.5,28808.79937686026
28435.0,30532.847496151924
30641.0,32472.391414880753
34002.0,34267.35314130783
36011.5,34567.2893127799
37252.0,34524.251396507025
38567.5,35477.66678151488
38499.0,36233.917112618685
38551.0,37119.40131667256
39043.5,38262.41984304786
41504.0,39481.98697987199
43334.0,41427.95064726472
41967.5,41024.82587763667
39922.0,40184.42760783434
37164.0,38644.887200564146
33990.0,35513.776883125305
30488.0,31705.152679622173
27399.0,28828.270317018032
27050.0,27698.039102897048
26761.5,27058.465734511614
25976.5,26013.77570208907
25282.5,25706.4528811574
25156.0,25868.811475664377
26263.0,26637.263267725706
30196.5,27950.44845715165
34971.5,30176.084733515978
39230.0,32670.487923115492
40187.5,35943.391977608204
39692.5,36824.65608307719
38881.0,36752.96363833547
38644.0,36029.729720145464
37757.0,35276.18710511923
37881.5,35555.82426762581
39528.5,37310.45382460952
42038.0,39909.85338208079
44504.5,42212.034330397844
43774.0,41897.50603082776
41849.5,41148.727026849985
39170.0,39158.23078390956
36169.5,35676.78139099479
32431.5,31862.487722337246
29282.999999999996,28927.806944653392
28924.5,28102.025418549776
28718.0,27113.88037481904
27772.5,25897.449265524745
27207.0,25835.943740978837
26814.5,26206.689149439335
28245.0,27664.749949127436
31965.5,31174.393066465855
36448.0,35521.99652451277
40517.0,38238.729788929224
42406.5,39180.76488941908
42406.5,39411.04678788781
42581.0,40135.558748066425
43673.0,41143.70938280225
43416.0,41159.75087746978
42829.0,40582.465809732676
42722.5,42314.82317119837
43843.0,43224.2494931221
44777.99999999999,43813.36383393407
43994.5,42704.18092766404
42123.0,41389.290369421244
39040.0,39299.53614744544
35492.0,35992.794503599405
31649.0,32186.692906856537
28434.5,29104.81871394813
27839.0,28064.525027811527
27639.0,27336.106079488993
26679.5,26336.78555303812
26206.0,26069.624561592937
25896.0,26432.144420921803
26882.0,27816.7542373538
30455.0,31179.47766494751
35160.0,34183.63843718171
38571.5,36338.78941786289
39839.0,38081.62120974064
40038.0,39397.59288516641
40373.0,40606.91796284914
40939.0,40801.81641224027
40309.5,40388.29795137048
39748.0,41186.05215451121
40202.5,41621.09055814147
41853.0,42197.70017379522
43742.0,42633.50264567137
